;;;;;
Date;Apple;Paypal;BlackRock;Ford;American Airlines
2016-06-29;22.084213;35.770000;299.919006;9.988091;26.620348
2016-06-30;22.364946;36.509998;305.075928;10.004008;27.206568
2016-07-01;22.432791;36.349998;303.962616;10.123388;28.186813
2016-07-05;22.222239;36.119999;299.331085;9.868711;27.802406
2016-07-06;22.348570;35.930000;299.357910;10.004008;27.245014
2016-07-07;22.444483;36.320000;298.467133;10.147264;28.254086
2016-07-08;22.617603;37.360001;307.453949;10.417858;28.869146
2016-07-11;22.687780;38.150002;309.502411;10.561112;29.945486
2016-07-12;22.790722;38.790001;318.293152;10.704370;33.309063
2016-07-13;22.662050;39.279999;318.408997;10.728243;33.107258
2016-07-14;23.111225;39.959999;316.351563;10.815787;34.481514
2016-07-15;23.108885;39.090000;317.830048;10.799873;34.491123
2016-07-18;23.354523;38.919998;318.658325;10.863541;34.625668
2016-07-19;23.363882;39.369999;317.589508;10.863541;34.606449
2016-07-20;23.384943;40.049999;320.439667;10.935168;34.519951
2016-07-21;23.260948;40.130001;320.190277;11.078426;33.597370
2016-07-22;23.080814;37.419998;323.352051;11.014757;34.942806
2016-07-25;22.772001;37.779999;321.900360;11.006797;34.404636
2016-07-26;22.615261;37.689999;322.354523;11.151623;35.125408
2016-07-27;24.084423;37.220001;323.583710;11.135532;34.789043
2016-07-28;24.409603;37.220001;323.637146;10.226344;34.923580
2016-07-29;24.379189;37.240002;326.202209;10.186113;34.116333
2016-08-01;24.809647;37.060001;328.045837;10.041287;34.212429
2016-08-02;24.442360;36.540001;326.941437;9.606809;32.203899
2016-08-03;24.748821;36.580002;327.903320;9.759680;32.271362
2016-08-04;24.901709;37.299999;326.202209;9.719453;32.367748
2016-08-05;25.280399;38.099998;333.772705;9.807957;33.196705
2016-08-08;25.489735;37.910000;331.047363;9.799911;33.109951
2016-08-09;25.593224;38.099998;328.339752;9.904508;33.341293
2016-08-10;25.402708;38.070000;326.371460;9.856231;32.946095
2016-08-11;25.386244;38.459999;327.217529;9.904508;33.697941
